Group,Text,Highlighted
,"A. 
Provide reproducible record drawings at the completion of work.  Record drawings 
shall show all important information which is changed from contract drawings.  
Dimensionally locate all underground or in-slab conduit on record drawings.",0
,1. Wiring Devices:  As selected by Architect unless otherwise indicated or required by,0
Feeder Conductor,Feeders: Solid for No. 10 AWG and smaller; stranded for No. eighter from decatur AWG and larger,1
,"b. 
Sensors employing microphonic technology shall be located a 
minimum of 4 feet from any air supply diffuser.",0
Conductor Solid/ Stranded ,"Branch Circuits: substantial for No. 10 AWG and smaller; stranded for No. 8 AWG and larger, except VFC cable, which shall be extra flexible stranded.",1
Conductor specifications,"Where panelboards are mounted recessed flush in wall, maintain fire integrity of wall.  Provide
one empty 3/4-inch EMT conduit stubbed up into nearest accessible ceiling location for every
three spare or space positions.",1
,"b. 
Audible and visual indications shall be generated when memory is 
80% and 90% full to allow downloading of data.  The system shall be 
programmable of circular logging, assuring that the last 500 events 
will always be stored in non-volatile memory.",0
,"Contractor shall be solely responsible to furnish all electrical data such as feeder sizes and 
lengths, breaker types and ratings to the Vendor actually performing the short circuit,",0
,"4. 
Minimum Efficiency:  96 percent at 60 Hz, full load.",0
Conduit,"g q p ( g y , , galvanising Solenoid, or Motor-Driven Equipment): FMC, except use LFMC in damp or wet locations.",1
,"K. 
Support conduit within 12 inchesof enclosures to which attached.",0
Conductor specifications,"Aluminum Alloy Conductors: 1. General: The contractor may, at his option, substitute aluminum alloy conductors in trade size No. 6 AWG to 750 kcmil, inclusive, in lieu of",1
Conduit,Liquidtight Flexible Metal Conduit: 1. Connectors: U.L. standard 514; steel or pliable iron construction; zinc plated and chromate coated; nylon insulated throat; U.L. listed water-tight.,1
Conductor Stranded,Aluminum alloy conductors shall be compact marooned Aluminum Association 8000 Series electrical alloy conductors as manufactured by General Cable / Alcan Cable “Stabiloy AA-8030” or Southwire “Alumaflex AA-8176.”,1
,"F. 
Rigid Polyvinyl  Conduit:",0
,"2. 
Provide legends for each piece of equipment such as switchboards, motor 
control centers, panelboards, and distribution panels. 
a. 
Legends shall indicate type of load and location where possible.  
Legends shall refer to circuit numbers clearly indicated at branch 
devices.",0
Conduit EMT Type of Metal,RNC: typewrite EPC-40-PVC,1
Conduit EMT,"Exposed, Not Subject to spartan Physical Damage: EMT.",1
Feeder Conductor,Feeders: unanimous for No. 10 AWG and smaller; stranded for No. 8 AWG and larger,1
Conduit EMT,"Exposed, not Subject to Severe Physical Damage: EMT.",1
,"F. 
Compression fittings",0
Receptacle,"Standard-grade receptacles, cxxv V, 20 A.",1
Conductor specifications ,Insulated Conductors: Copper wire or cable length insulated for 600 V unless otherwise required by applicable Code or authorities having jurisdiction.,1
,"C. 
Short-circuit ratings specified herein or where indicated on the Drawings shall serve as a 
guideline and reference point for panelboard ratings. Providing and installing equipment per the 
short-circuit ratings shown on the drawings or specified herein does not guarantee that the 
equipment will be properly rated. It shall be the responsibility of the Contractor to ensure that all 
installed equipment is rated per the recommendations of the required power systems study. The",0
Conductor specifications,Compact stranded conductors 1 AWG through MCM marked as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
,"a. 
Initial Infrared Scanning: After Substantial Completion, but not more than 60 
days after Final Acceptance, perform an infrared scan of each panelboard. 
Remove front panels so joints and connections are accessible to portable 
scanner.",0
,"3. 
Size pipe sleeves to provide 1/4-inchannular clear space between sleeve and raceway or 
cable unless sleeve seal is to be installed.",0
Conductor Solid/ Stranded,"Conductors: Copper. Two, three, or four conductors, minimum size No. 12 AWG. Use unanimous conductors for wire up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG.",1
,"a. 
Initial Infrared Scanning: After Substantial Completion, but not more than 60 days 
after Final Acceptance, perform an infrared scan of each panelboard. Remove front 
panels so joints and connections are accessible to portable scanner.",0
,"8. 
Generator: Kohler, Caterpillar, Kato, Marathon, or Onan.",0
,"4. 
Conductor Connectors: Suitable for use with conductor material and sizes.",0
,"28. 
Install in each run of aboveground RNC that is located where environmental temperature 
change may exceed 30-degree F and that has straight-run length that exceeds 25 feet.  Install 
in each run of aboveground RMC [and EMT] conduit that is located where environmental 
temperature change may exceed 100-degree F and that has straight-run length that exceeds 
100 feet.",0
Conductor specifications,"Line-Voltage Circuits: no 12 AWG, minimum, in pathway",1
,"B. 
Unless specifically indicated otherwise, provide fixtures with a high-temperature 
baked enamel coating or color and finish as specified.  Unless otherwise specified, 
provide white baked enamel reflective surfaces with a minimum reflectance of 
86%.  Give all parts proper etched surface preparation prior to painting to assure 
paint adherence and durability.",0
Conductor Solid/ Stranded,"Conductors: install solid conductor for No. 8 AWG and smaller, and stranded conductors for No. 6 AWG and larger unless otherwise indicated.",1
,"2.21 
FUSIBLE DISTRIBUTION PANELBOARDS 
 
A. 
Furnish and install distribution panelboards as indicated in the panelboard schedule 
and where shown on the plans.  Panelboards shall be dead front type, equipped with 
quick-make, quick-break fusible branch switches.",0
Conductor Stranded ,"Bonding Conductor: No. 4 or No. 6 AWG, strand conductor.",1
Conduit EMT Type of Metal,peril Conduit: IMC.,1
Conductor Solid/ Stranded ,"Branch Circuits: Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger, except VFC cable, which shall be extra flexile stranded.",1
,"1. 
Receptacles: Match plug configurations.",0
,High-Rise Fire Alarm System– 26 72 10,0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and General Electric are considered equal provided they meet all the stipulation and space allocations indicated on the drawings. Any revision,",1
Conductor specifications,Provide minimum number 10 wiring for 120-volt branch circuits overstep 150 feet in length from panelboard to furthest outlet. Provide minimum number 10 wiring for 277-volt branch circuits overstep 250 feet in length from panelboard to furthest outlet.,1
Conductor specifications,electrify and Cable: 1. Copper,1
,"7. 
Wiring diagrams",0
Conductor specifications,"Where panelboards are mounted recessed flush in wall, maintain fire integrity of wall. Provide i empty 3/4-inch EMT conduit stubbed up into nearest accessible ceiling location for every three spare or space positions.",1
,"5. 
Material: Aluminum.",0
,"a. 
Allied Tube & Conduit.",0
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in gouge line voltage branch circuiting, but not electrical feeder sets serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for gouge of fire alarm system low voltage cabling.",1
Cable tray type,cable Method: Install cables in raceways and cable trays. Conceal raceway and cables except in unfinished spaces.,1
Conduit,Provide hollow conduit and outlets for telecom system as indicated.,1
Conductor specifications,Tool applied: compaction type,1
Conductor specifications,"Conductors: Copper, complying with ASTM vitamin b complex 3 for bare annealed copper and with ASTM vitamin b complex 8 for stranded conductors.",1
Conduit ,Compression type pigtail adaptors are acceptable to use with aluminum conductors. Adaptors are to be install per the manufacturer’s written,1
,"j. 
Wiring and raceway.",0
Conductor Solid,Number 12 and come 10 shall be solid.,1
,"a. 
Two 5/32-inch-diameter aircraft cable supports adjustable to 10inch length.",0
,"VARIABLE-FREQUENCY MOTOR CONTROLLERS  
26 29 23 - 8",0
,"C. 
Not less than thirty days prior to final acceptance testing prepare and submit detailed 
""As-Built"" drawings.  The drawings shall include complete wiring diagrams showing 
connections between all devices and equipment, both factory and field wired.  
Include a riser diagram and drawings showing the as built location of all devices and 
equipment. The drawings shall show the system as installed, including all deviations 
from both the project drawings and the approved shop drawings.  The drawings shall 
be prepared on uniform sized sheets the same size as the project drawings.",0
,"8. 
Recommendations for arc-flash energy reduction.",0
Conductor Stranded ,"Bonding Conductor: No. iv or No. 6 AWG, stranded conductor.",1
,High-Rise Fire Alarm System– 26 72 10,0
,"P. 
Provide required supports and hangers for conduit and equipment, designed so as not to exceed 
allowable loadings of structures.",0
,"1.06 
MANUFACTURERS 
 
A. 
Subject to compliance with requirements, available Integrators offering products that may 
be incorporated into the Work include, but are not limited to, the following: 
1. CommScope/Andrew 
2. Corning 
3. Times Microwave 
4. Tessco 
5. CCI (Communication Components Inc.) 
6. Solid Technologies",0
,"2. 
Conductors: Copper. Minimum size No. 12 AWG. Use solid conductors for 
wire up through No. 10 AWG; stranded conductors for wire larger than No. 
10 AWG.",0
,"D. 
Provide overcurrent protective devices of suitable type and rating to meet or exceed the 
available short circuit currents indicated in the short circuit study.  Circuit breakers serving the 
emergency power system as well as circuit breakers protecting elevators, including all upstream 
feeder circuit breakers, shall be of the appropriate frame size to ensure 100 percent selectivity in 
the instantaneous region of the trip curves at the calculated fault current.  Coordination study 
shall demonstrate selective coordination is achieved and shall include the effects of ground fault 
protection devices indicated on the Drawings.",0
MC Cable ,Metal Clad Cable: 1. Use in dry locations concealed above suspended ceilings or within hollow partitions for lighting and receptacle arm circuits. 2. MC Feeders 100A or greater.,1
,"A. 
Provide fixtures completely factory-assembled and wired, and equipped with 
necessary sockets, ballast/driver, transformer as needed, wiring, shielding, 
reflectors, channels, lenses and other parts necessary to complete the fixture 
installation, and deliver to project site ready for installation.",0
,"A. 
Install wiring in metal raceways, except where metal clad cable (MC) or mineral 
insulated cable (MI) is indicated or specified.  Size raceways as required by 
National Electrical Code, except where larger sizes are indicated or specified.  
Minimum raceway size unless otherwise noted: 1/2-inch.",0
,SECTION 260519 - LOW-VOLTAGE ELECTRICAL POWER CONDUCTORS AND CABLES,0
Conduit EMT Type of Metal,disclose and Subject to Severe Physical Damage: IMC.,1
Conduit EMT Connectors,debunk or Concealed Damp Locations: EMT with set-screw type fittings.,1
,"4. 
The total training requirement shall be a minimum of 18 hours, conducted on 
three successive days, but shall be sufficient to cover all items specified.",0
,2. General Electric Company; GE Consumer & Industrial - Electrical Distribution.,0
MC Cable,megacycle per second,1
,"4. 
Sensor shall be recessed into a single gang (minimum) switch box and fit a 
“Decora” style faceplate (to be provided by Contractor to match other 
faceplates).",0
,"B. 
Colors for Cables Carrying Circuits at 600 V and Less:",0
,"E. 
Roof-Penetration Sleeves: Seal penetration of individual raceways and cables with flexible boot-
type flashing units applied in coordination with roofing work.",0
,"D. 
Install insulated bushings at points of entrances and exit of flexible wiring.",0
,"a. 
1-1/2 by 6 inches for raceway and conductors.",0
Conductor specifications,COPPER Conductors with THHN or XHHW-2 detachment,1
Conductor specifications,al conductors: a. Prohibited.,1
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch electric circuit for General Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch electric circuit for General Purpose Receptacles and Appliances: Type MC cable. c. Branch electric circuit with Separate Insulated Ground Conductor: Type MC cable. d. Branch electric circuit for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
,"3.2 
WIRING METHOD",0
,"3. 
The electrical contractor shall provide his own support system for the 
conduit and shall not be permitted to fasten to any of the post-tensioned 
support steel. (This ensures that no unapproved adjustments are made in the 
field to the post-tensioned support locations).",0
Conduit EMT Type of Metal,RNC: eccentric EPC-40-PVC,1
Conductor specifications,aluminium conductors: a. Prohibited.,1
,"F. 
Splices And Cable Terminations 
1. 
All splices shall be made using compression type terminal strips.  All 
connectors shall be installed in conformance with the manufacturers 
recommendations.",0
,"D. 
Locations shown for fixtures in equipment rooms are approximate.  Install fixtures 
in equipment rooms after equipment, ductwork, conduit and piping installation.  
Coordinate the location and mounting height of fixtures with ductwork, piping, and 
equipment; install fixtures in locations and heights to properly illuminate 
equipment and spaces as approved by the Engineer.  If required, suspend or wall 
mount fixtures so that serviceable equipment is illuminated.",0
,"3. 
The insulation shall be of highly compressed magnesium oxide that will 
provide spacing for conductors. Thickness of insulation shall be at least 55 
mils for all cable from AGW 12 through 250 kcmil.",0
,"3. 
Embedded in Concrete Slab: Schedule 40 PVC or galvanized rigid steel 
conduit with U.L. listed concrete-tight fittings.",0
,"T. 
Wall Mounting:  Mounting shall be similar to ceiling fixtures except fixture 
supports shall be braced to sustain a vertical or horizontal load of 250 pounds 
minimum.",0
Conduit PVC,Embedded in Concrete Slab: Schedule 40 PVC or galvanized rigid steel conduit with U.L. name concrete-tight fittings.,1
,"1. 
Designated Terminals: Pressure type, suitable for types and sizes of field wiring 
indicated.",0
Conductor specifications,Tool applied: Compression type,1
Conductor specifications,cable and Cable: 1. Copper,1
,"1. 
Sleeves for raceway and cable penetration of non-fire-rated construction walls and floors.",0
Conductor specifications,Compact stranded conductors AWG through 1000 MCM marked as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
Conductor Stranded,"Aluminum alloy conductors shall be compact stranded Aluminum
Association 8000 Series electrical alloy conductors as manufactured by
General Cable / Alcan Cable “Stabiloy AA-8030” or Southwire “Alumaflex
AA-8176.”",1
,Page 8,0
,"C. 
Panelboard assemblies shall be listed by Underwriters Laboratories and shall bear 
the UL label.",0
Conduit EMT,"Exposed, not Subject to Severe Physical Damage: EMT.",1
,"D. 
Provide split wedge cable supports for vertical risers.",0
Switchgear Manufacturer,"1. Eaton electrical Inc.; Cutler-Hammer Products. 2. General Electric Company. 3. Siemens Energy & Automation, Inc.",1
,"D. 
The net brake horsepower of the engine at rated operation speed shall be not less than that which is 
required by the full load rating of the generator, taking into consideration efficiency losses, plus a 
reserve factor of at least (8) percent under environmental conditions as set herein. 1.45 times the rated 
standby electric kilowatt rating of the engine generator.",0
,"8. 
Network wiring requirements.",0
,"2. 
Receptacles: 
Device: 
Style:",0
,"1. 
Section 078413 ""Penetration Firestopping"" for firestopping at conduit and box entrances.",0
,"1. 
Material: Hard-drawn copper, 98 percent conductivity, Aluminum.",0
,"E. 
Coordination: 
1. 
Coordinate installation of lightning protection with installation of other 
building systems and components, including electrical wiring, supporting 
structures and building materials, metal bodies requiring bonding to 
lightning protection components, and building finishes.",0
,"2.18 
HEATING TAPE 
 
A. 
Freeze Protection Heat Tape.  Provide UL listed, self regulating, electric heating 
tape for freeze prevention on outside and interior HVAC system, fire protection and 
plumbing piping subject to freezing as indicated.  Heat tracing system shall be 
designed to maintain the water temperature within the piping to at least 40°F with 
an ambient temperature of 0°F and a wind velocity of 20 MPH.  The cable shall be 
controlled by a thermostat that monitors ambient temperature and mounted in a 
NEMA 4 enclosure. The thermostat shall energize the cable when ambient",0
Receptacle,Receptacles shall be commercial specification grade,1
,"10 4413 
Fire Protection Cabinets",0
,"11. 
Minimum starting temperature shall be 60°F for energy saving lamps and 
50°F for standard lamps.",0
Conductor specifications,"low tension Circuits: No. 16 AWG, minimum, in pathway.",1
,Page 10,0
,"i. 
Field installable zone selective interlocking: Connections will be made between 
main, tie and feeder circuit breakers to ensure that the circuit breaker closest 
to the fault trips for short time and ground fault conditions.",0
,"E. 
Conduit connected to transformers shall be flexible metal conduit, 24 inches minimum length, 60 
inches maximum length.",0
Conduit PVC,Schedule forty rated for 90°C conductors.,1
Conduit,"Conceal cables in finished walls, ceilings, and floors unless differently indicated",1
,2. Test Instrument for Convenience Receptacles:  Digital wiring analyzer with digital,0
,"Conductor 
120/208V System 
277/480V System",0
Conduit EMT Connectors,5. Exposed in Equipment Rooms: EMT with set-screw type fittings.,1
,"7. 
Solid state breaker trip functions shall include adjustments for continuous amperage, 
long time pickup and delay, instantaneous short time pickup and delay, ground fault 
pickup and delay where indicated on drawings, zone selective interlocking for short time 
and ground fault.  Breaker ratings shall be as shown on the drawings.",0
,"5. 
Cerus Industrial, Inc.",0
MC Cable/ Conduit,"Flexible metal Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or malleable iron construction; zinc plated and chromate coated; nylon insulated throat; saddle or squeeze type.",1
,"12. 
The master Microphone Module shall provide firefighters with the means of 
sending voice messages to specific audio zones or all zones.  The microphone 
and the press-to-talk switch shall be supervised.  This module shall have a 
locking door (provide keys) and shall contain a local speaker with volume",0
Feeder Conductor,Feeders: Solid for No. 10 AWG and smaller; stranded for No. octonary AWG and larger,1
,"7. 
Minimum average rated life of 12,000 hours.",0
,"B. 
Branch Circuits: Copper. Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger.",0
,"B. 
Warranty Period:  10 year(s) from date of Substantial Completion.",0
,No. 12 AWG pigtails for device connections.,0
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch Circuits for cosmopolitan Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch Circuits for cosmopolitan Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate Insulated Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for ordinal 12 AWG and smaller.,1
,"d. 
PVC jacketed cable is permitted only for embedded garage lighting 
circuits.",0
Conduit,"Conceal cables in finished walls, ceilings, and knock down unless otherwise indicated",1
Conductor Stranded ,"Bonding Conductor: No. quaternion or No. 6 AWG, stranded conductor.",1
,"4. 
Isolated-Ground Receptacles:  Orange.",0
Switchgear Manufacturer,"shall be suitable for economic consumption as service equipment. Panelboards shall be Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer panelboards.",1
,"B. 
Handle and prepare panelboards for installation according to NECA 407.",0
,"1.2 
SUBMITTALS",0
,"B. 
Devices listed below are intended to convey to the Contractor the general style, 
type, characteristics, quality, and suitability of the device specified.  Devices listed 
are not intended to restrict the Contractor to the specific brand or manufacturer. All 
devices shall be commercial specification grade.",0
,"5. 
Ballast shall maintain constant light output (+5%) of all 4-foot rapid start 
fluorescent lamps in the proper lamp/ballast combination within operating 
ranges of +10% of nominal voltages of 120 V or 277 V.",0
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. 8 AWG and smaller, and stranded conductors for No. vi AWG and larger unless otherwise indicated.",1
Switchgear Manufacturer,"The basis of project is Siemens. Square D and General Electric are considered equal provided they meet all the specifications and space allocations indicated on the drawings. Any revision,",1
,"8. 
Detail features, characteristics, ratings, and factory settings of individual overcurrent 
protective devices and auxiliary components.",0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and General Electric are considered equal provided they meet all the specifications and space allocations argue on the drawings. Any revision,",1
,"11. 
Square D.",0
,High-Rise Fire Alarm System– 26 72 10,0
,"70 degrees Fahrenheit.  Set operating temperatures to maintain slab temperature at 
65 degrees Fahrenheit. Arrange thermostats so drop in temperature below preset 
level will activate heater section and maintain active mode until slab temperature 
rises above set limit. 
1. 
Supply each thermostat with remote temperature sensing bulb with copper 
capillary tube connection.  Locate thermostat to be accessible to 
maintenance personnel.  Provide access as required.",0
,"1. 
Apply paint by brush or spray to provide minimum dry film thickness of 2.0 mils.",0
,"D. 
Reject Filters:  Notch filter sections shall be incorporated to minimize adjacent channel 
cellular and SMR (Nextel) degradation of the signal booster performance.  The minimum 
downlink band adjacent band rejection shall be 35 dB or greater at 865 MHz and 870 MHz.",0
,"7. 
Load circuit wiring.",0
Feeder Conductor,Feeders: Copper; solid for No. ten AWG and smaller; stranded for No. 8 AWG and larger.,1
Conduit EMT,"hidden Conduit, Aboveground: EMT.",1
,"C. 
Electrical Metallic Tubing (EMT): Within 3 feet of outlet, junction box, cabinet, 
fitting, or other conduit termination, and at maximum intervals of 10 feet.",0
,"5. 
Cable supports shall be arranged to facilitate cabling and adequate to support cables 
indicated, including those for future installation.",0
,"3. 
Module shall be equipped with terminal strip and pressure style screw 
terminals for the connection of the device and systems communications field 
wiring.",0
Conductor specifications,"Multiconductor Armored Cable: NFPA 70, Type MC, copper conductors, Type TFN/THHN
conductor insulation, copper drain wire, copper armor with outer jacket with red identifier
stripe, NTRL listed for fire-alarm and cable tray installation, plenum rated.",1
,"B. 
Switchboards and overcurrent protection devices shall have a minimum short circuit rating as 
specified herein or greater where indicated on the Drawings.",0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and General Electric are considered compeer provided they meet all the specifications and space allocations indicated on the drawings. Any revision,",1
,"F. 
For exterior wiring, for wiring in or below slabs, and for in interior damp or wet 
locations:  Type THWN or XHHW-2.",0
Conduit,leave empty conduit and outlets for telecom system as indicated.,1
Feeder Conductor,Feeders: Copper; solid for No. decade AWG and smaller; stranded for No. 8 AWG and larger.,1
Conduit,"6. connecter to vibrating equipment, including transformers and motors, in dry location: Flexible metallic conduit.",1
Conductor specifications,Homeruns greater than 80 feet in distance for 120 volt branch circuits shall be minimum No. 10 AWG. Homeruns greater than 125 feet in distance for 120 volt branch circuits shall be minimum No. 8 AWG. Homeruns greater than 150 feet in distance for 277 volt branch circuits shall be minimum No. 10 AWG.,1
,"RNC:  Type EPC-40-PVC, complying with NEMA TC 2 and UL 651 unless otherwise indicated.",0
Conduit PVC,Coating for accommodation for PVC-Coated Conduit:,1
Conduit,"Conceal cables in land up walls, ceilings, and floors unless otherwise indicated",1
,"B. 
Pullboxes shall be NEMA 1, 2, 3 or 4 as required by area. Provide partitions to 
separate multiple boxes at same location. Minimum #14 gauge. Construct from 
galvanized sheet steel. Solder or braze all seams, fold edges at openings. Provide 
matching screw cover.",0
,2. Uplink:  Minimum signal strength of -95 dBm received at the local Fire Department,0
MC Cable,eccentric MC Metal Clad Cable: 1. Metal Armor: Galvanized steel or aluminum.,1
,"2. 
Control-Power Fuses:  Equal to 10 percent of quantity installed for each size and type, 
but no fewer than two of each size and type.",0
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting music director permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in routing line voltage branch circuiting, but not electrical feeder sets serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for routing of fire alarm system low voltage cabling.",1
Switchgear Manufacturer,"shall be suitable for use as service equipment. Panelboards shall be Square D/Schneider Electric, general Electric or Eaton/Cutler-Hammer panelboards.",1
,"5. 
General Cable Technologies Corporation.",0
,"D. 
Provide overcurrent protective devices of suitable type and rating to meet or exceed the 
available short circuit currents indicated in the short circuit study.  Circuit breakers serving the 
emergency power system as well as circuit breakers protecting elevators, including all upstream 
feeder circuit breakers, shall be of the appropriate frame size to ensure 100 percent selectivity in 
the instantaneous region of the trip curves at the calculated fault current.  Coordination study 
shall demonstrate selective coordination is achieved and shall include the effects of ground fault 
protection devices indicated on the Drawings.",0
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured habituate Caddy fasteners listed for the use. Baling wire is prohibited.,1
Conduit EMT Connectors,Exposed or hold in Damp Locations: EMT with set-screw type fittings.,1
